<CdSiteHydro>,<LbSiteHydro>,<Annee>,<TypeCampObservations>,<DtRealObservation>,<LbRsObservationDpt>,<RsObservationDpt>,<LbRsObservationNat>,<RsObservationNat>,<NomEntiteHydrographique>,<CdTronconHydrographique>,<LbCommune>,<CdCommune>,<CdDepartement>,<LbRegion>,<NomCircAdminBassin>,<CoordXSiteHydro>,<CoordYSiteHydro>,<ProjCoordSiteHydro>,FLG
V2409412,Bief février à Les Rousses,2014,usuelle,2014-06-26,Ecoulement visible acceptable,1a,Ecoulement visible,1,Le Bief Février,"",LES ROUSSES,39470,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,936704.8,6603527.5,26,FLG
V2409411,Ruisseau l'Évalude à Morez,2014,usuelle,2014-06-26,Ecoulement visible acceptable,1a,Ecoulement visible,1,L'Evalude,V2400540,MOREZ,39368,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,931662.6,6608017.5,26,FLG
U2715012,Rivière la Veuge à Villers-Robert,2014,usuelle,2014-06-27,Assec,3,Assec,3,La Veuge,U2710640,RAHON,39448,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,889774.1,6655530,26,FLG
U3404036,Ruisseau la Rondaine à Vincent,2014,usuelle,2014-06-26,Assec,3,Assec,3,La Rondaine,U3400560,VINCENT,39577,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,889980.620703004,6633560.36514176,26,FLG
U3404034,Rivière la Seille à Villevieux,2014,usuelle,2014-06-26,Ecoulement visible acceptable,1a,Ecoulement visible,1,La Seille,U34-0400,RUFFEY-SUR-SEILLE,39471,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,888878.6,6630332.5,26,FLG
U3404035,Ruisseau de la Madeleine à Saint-Didier,2014,usuelle,2014-06-26,Ecoulement visible acceptable,1a,Ecoulement visible,1,La Madeleine,U3400620,SAINT-DIDIER,39480,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,893229.8,6625634,26,FLG
U2640005,La Réverotte à Santans aval,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,La Réverotte,U2640580,SANTANS,39502,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,901562.460040706,6660679.61842333,26,FLG
V2600001,Bief d'enfer à Ecrille,2014,usuelle,2014-06-26,Ecoulement visible acceptable,1a,Ecoulement visible,1,le Bief d'Enfer,V2601020,ECRILLE,39207,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,901506.3,6603870,26,FLG
V2624011,Le valzin à Chatonnay,2014,usuelle,2014-06-26,Ecoulement visible acceptable,1a,Ecoulement visible,1,Le Valzin,V2620500,CHATONNAY,39123,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,895972.169960485,6594500.36796484,26,FLG
V2024011,Rivière la Saine à Foncine-Le-Haut,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,La Saine,V20-0400,FONCINE-LE-HAUT,39228,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,935016.8,6622746.5,26,FLG
